Step;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty;Used time
283;566;0.196834771;326.2752256;-1.122595109;-0.981731501;0.025199364
284;568;0.203483445;337.2961322;-1.130470662;-0.981864275;0.024453917
285;570;0.210133136;348.3187253;-1.137477267;-0.982003165;0.024337458
286;572;0.215560561;357.3152764;-1.141587077;-0.982086852;0.032476728
287;574;0.21436101;355.326889;-1.14159317;-0.982086095;0.023409484
288;576;0.210647256;349.1709347;-1.137481842;-0.982007214;0.023321751
289;578;0.201935994;334.7310628;-1.130516606;-0.981878063;0.024516164
290;580;0.199248677;330.2765399;-1.122552081;-0.981733618;0.024666995
291;582;0.194406291;322.2497539;-1.115489013;-0.981617414;0.033011164
292;584;0.19100368;316.6095522;-1.11098157;-0.981569841;0.025044434
293;586;0.185091681;306.8097658;-1.109877375;-0.981601767;0.023910616
294;588;0.185195332;306.9815784;-1.111881103;-0.981688388;0.021670585
295;590;0.186678664;309.4403645;-1.115934383;-0.981793353;0.022180795
296;592;0.18687041;309.7582042;-1.120801637;-0.981897367;0.023626801
297;594;0.193025563;319.9610463;-1.125173752;-0.9819936;0.032218091
298;596;0.196084121;325.0309418;-1.127665201;-0.982058916;0.023702985
299;598;0.193345741;320.4917751;-1.127559419;-0.982053756;0.023935237
300;600;0.190174832;315.235646;-1.125142821;-0.981968488;0.024059741
301;602;0.186842007;309.7111237;-1.121472343;-0.981847078;0.023439278
302;604;0.182454583;302.4384874;-1.118142638;-0.981748547;0.03134706
303;606;0.180978375;299.9915092;-1.116413294;-0.981701556;0.024017293
304;608;0.181186267;300.3361139;-1.11688463;-0.981711564;0.023457486
305;610;0.183404249;304.0126628;-1.119371628;-0.981760781;0.024207424
306;612;0.185903492;308.1554315;-1.123072617;-0.981818509;0.023993514
307;614;0.190360061;315.5426842;-1.127088287;-0.981864317;0.023329612
308;616;0.196762262;326.155034;-1.130692882;-0.981898859;0.022438941
309;618;0.202359865;335.4336746;-1.133283212;-0.981930597;0.030119897
310;620;0.196625393;325.9281584;-1.134423292;-0.981957128;0.02174384
311;622;0.195392953;323.8852547;-1.133990463;-0.981960779;0.022400531
312;624;0.193068349;320.0319686;-1.132147757;-0.981927874;0.023203142
313;626;0.191794593;317.9205778;-1.129308455;-0.981874979;0.030815457
314;628;0.188213577;311.9846514;-1.126034971;-0.981834434;0.023793785
315;630;0.187087717;310.1184139;-1.122793918;-0.981814267;0.024052784
316;632;0.183650571;304.420968;-1.119736181;-0.981796193;0.023822387
317;634;0.182681183;302.8141013;-1.117017012;-0.981769327;0.024753522
318;636;0.183620668;304.3714001;-1.114897791;-0.981742548;0.023729056
319;638;0.182242179;302.0864032;-1.113638596;-0.981732081;0.023720826
320;640;0.178159581;295.3190504;-1.113449462;-0.981744039;0.031230788
321;642;0.177774309;294.6804187;-1.114330741;-0.981771207;0.024605677
322;644;0.177982793;295.0260042;-1.116055993;-0.98180505;0.02332269
323;646;0.180776855;299.6574684;-1.118213188;-0.981838591;0.023883356
324;648;0.184913812;306.5149292;-1.120267004;-0.98185873;0.023605157
325;650;0.184971131;306.6099409;-1.121860065;-0.98185785;0.023762472
326;652;0.184073369;305.1218017;-1.12296178;-0.981846344;0.031971596
327;654;0.185736361;307.8783936;-1.123726437;-0.9818387;0.023568799
328;656;0.18596198;308.2523818;-1.12420688;-0.981836805;0.024365594
329;658;0.184552967;305.9167886;-1.124409253;-0.981832752;0.023591565
330;660;0.184366422;305.60757;-1.124393341;-0.981814587;0.023671839
331;662;0.180519715;299.2312311;-1.124517306;-0.981781726;0.022835624
332;664;0.180190044;298.6847641;-1.125399696;-0.981752823;0.022665915
333;666;0.185704083;307.8248888;-1.127493082;-0.981750038;0.030456666
334;668;0.190659699;316.0393657;-1.130774161;-0.98178025;0.022709041
335;670;0.19145495;317.3575822;-1.134694502;-0.981835518;0.023828764
336;672;0.195451261;323.9819068;-1.13843089;-0.981899961;0.024326434
337;674;0.19714436;326.7884032;-1.141076312;-0.981951705;0.024260438
338;676;0.200472038;332.3043953;-1.141837081;-0.981967132;0.024337296
339;678;0.200298201;332.016241;-1.140510197;-0.981936643;0.033135554
340;680;0.198874601;329.6564679;-1.137484843;-0.981871911;0.022425629
341;682;0.190551062;315.8592891;-1.133810459;-0.981803716;0.02143734
342;684;0.187228636;310.3520028;-1.130648441;-0.981763506;0.022304255
343;686;0.180916935;299.8896666;-1.128702972;-0.981766674;0.033281679
344;688;0.182707413;302.8575808;-1.128096318;-0.98180446;0.025748843
345;690;0.184597303;305.9902795;-1.128389225;-0.981846559;0.024435331
346;692;0.182547266;302.5921195;-1.129018879;-0.981859455;0.024488169
347;694;0.18403803;305.0632239;-1.129819023;-0.981838155;0.031759159
348;696;0.18170052;301.1885446;-1.131094935;-0.981812922;0.023310973
349;698;0.182708418;302.8592454;-1.13327518;-0.981820904;0.023127625
350;700;0.18804815;311.7104383;-1.136311516;-0.981870097;0.024796555
351;702;0.189043732;313.360724;-1.13947107;-0.981932924;0.024722574
352;704;0.190250011;315.3602637;-1.141819202;-0.981972195;0.023529012
353;706;0.192788464;319.5680286;-1.142819094;-0.981970291;0.023713715
354;708;0.190438027;315.6719205;-1.142588572;-0.981936513;0.031944952
355;710;0.189457945;314.0473272;-1.141741453;-0.981893217;0.023308469
356;712;0.191000284;316.6039238;-1.140993073;-0.981862726;0.023190972
357;714;0.190440334;315.6757442;-1.140754113;-0.981861256;0.02392483
358;716;0.190781688;316.2415774;-1.140930762;-0.981889214;0.025982932
359;718;0.19137906;317.231786;-1.14097643;-0.981923459;0.031673203
360;720;0.193338473;320.4797278;-1.14023487;-0.981932193;0.022979808
361;722;0.193783592;321.217562;-1.13838064;-0.981902466;0.022109708
